IDS	rat.gene.name	rat.entrez.ID	rat.uniprot	mouse.gene.name	mouse.entrez.ID	mouse.uniprot	human.gene.name	human.entez.ID	human.uniprot	% Cov	Peptide (95%)
Q9H425	RGD1559896	498967	D3ZY47	2310022B05Rik	69551	Q8C3W1	C1orf198	84886	Q9H425	42.8	7
O94826	Tomm70a	304017	Q75Q39	Tomm70a	28185	Q9CZW5	TOMM70A	9868	O94826	15.6	6
Q9P0J0	Ndufa13	314759	NA	Ndufa13	67184	Q9ERS2	NDUFA13	51079	Q9P0J0	55.6	6
Q02246	Cntn2	25356	P22063	Cntn2	21367	Q61330	CNTN2	6900	Q02246	14.4	6
P51649	Aldh5a1	291133	G3V945	Aldh5a1	214579	Q8BWF0	ALDH5A1	7915	P51649	18.9	6
P52907	Capza1	691149	B2GUZ5	Capza1	12340	P47753	CAPZA1	829	P52907	41.3	7
Q14CZ8	Hepacam	300517	NA	Hepacam	72927	Q640R3	HEPACAM	220296	Q14CZ8	29.3	7
Q9NP81	Sars2	292759	D3ZM09	Sars2	71984	Q9JJL8	SARS2	54938	Q9NP81	26.6	6
O43295	Srgap3	500287	F1M5M9	Srgap3	259302	Q812A2	SRGAP3	9901	O43295	16.9	6
O76070	Sncg	64347	Q63544	Sncg	20618	Q9Z0F7	SNCG	6623	O76070	91.3	6
P62328	Tmsb4x	81814	P62329	Tmsb4x	19241	P20065	TMSB4X	7114	P62328	93.2	6
P52209	Pgd	362660	NA	Pgd	110208	Q9DCD0	PGD	5226	P52209	27.5	6
P00492	Hprt1	24465	P27605	Hprt	15452	P00493	HPRT1	3251	P00492	36.7	6
P29218	Impa1	83523	P97697	Impa1	55980	Q924B0	IMPA1	3612	P29218	28.2	6
P10606	Cox5b	94194	P12075	Cox5b	12859	Q9D881	COX5B	1329	P10606	44.2	8
P07437	Tubb5	29214	P69897	Tubb5	22154	P99024	TUBB	203068	P07437	75.2	132
P23528	Cfl1	29271	P45592	Cfl1	12631	P18760	CFL1	1072	P23528	NA	13
Q6YN16	Hsdl2	313200	Q4V8F9	Hsdl2	72479	Q2TPA8	HSDL2	84263	Q6YN16	NA	6
Q6PUV4	Cplx2	116657	P84087	Cplx2	12890	P84086	CPLX2	10814	Q6PUV4	NA	6
P49748	Acadvl	25363	P45953	Acadvl	11370	P50544	ACADVL	37	P49748	NA	6
P35613	Bsg	25246	P26453	Bsg	12215	P18572	BSG	682	P35613	NA	7
Q14141	Sept6	691335	B5DFG5	Sept6	56526	Q9R1T4	SEPT6	23157	Q14141	NA	20
Q16143	Sncb	113893	Q63754	Sncb	104069	Q91ZZ3	SNCB	6620	Q16143	NA	11
Q9BWM7	Sfxn3	65042	Q9JHY2	Sfxn3	94280	Q91V61	SFXN3	81855	Q9BWM7	NA	8
Q9UJU6	Dbnl	83527	Q9JHL4	Dbnl	13169	Q62418	DBNL	28988	Q9UJU6	NA	7
Q99523	Sort1	83576	O54861	Sort1	20661	Q6PHU5	SORT1	6272	Q99523	NA	6
P43003	Slc1a3	29483	P24942	Slc1a3	20512	P56564	SLC1A3	6507	P43003	NA	7
P30042	RGD1303003	294326	P56571	D10Jhu81e	28295	Q9D172	C21orf33	8209	P30042	NA	6
P16949	Stmn1	29332	P13668	Stmn1	16765	P54227	STMN1	3925	P16949	NA	6
P14621	Acyp2	364224	D4A1G1	Acyp2	75572	P56375	ACYP2	98	P14621	NA	6
Q9H0Q0	Fam49a	298890	B0BN65	Fam49a	76820	Q8BHZ0	FAM49A	81553	Q9H0Q0	NA	6
Q92743	Htra1	65164	Q9QZK5	Htra1	56213	Q9R118	HTRA1	5654	Q92743	NA	6
Q8N126	Cadm3	360882	Q1WIM3	Cadm3	94332	Q99N28	CADM3	57863	Q8N126	NA	6
Q16643	Dbn1	81653	Q07266	Dbn1	56320	Q9QXS6	DBN1	1627	Q16643	NA	6
Q15257	Ppp2r4	362102	B2RYQ2	Ppp2r4	110854	P58389	PPP2R4	5524	Q15257	NA	6
P36542	Atp5c1	116550	P35435	Atp5c1	11949	Q91VR2	ATP5C1	509	P36542	NA	6
P19404	Ndufv2	81728	P19234	Ndufv2	72900	Q9D6J6	NDUFV2	4729	P19404	NA	6
Q9UGV2	Ndrg3	296318	Q6AYR2	Ndrg3	29812	Q9QYF9	NDRG3	57446	Q9UGV2	NA	6
Q8N6T3	Arfgap1	246310	Q62848	Arfgap1	228998	Q9EPJ9	ARFGAP1	55738	Q8N6T3	NA	6
Q16623	Stx1a	116470	P32851	Stx1a	20907	O35526	STX1A	6804	Q16623	NA	6
P51452	Dusp3	498003	G3V9L3	Dusp3	72349	Q9D7X3	DUSP3	1845	P51452	NA	6
P12532	NA	NA	NA	Ckmt1	12716	P30275	CKMT1B	1159	P12532	NA	7
O14594	LOC102550316	102550316	NA	Ncan	13004	P55066	NCAN	1463	O14594	NA	9
Q99536	Vat1	287721	Q3MIE4	Vat1	26949	Q62465	VAT1	10493	Q99536	NA	6
Q9UN37	Vps4a	246772	Q793F9	Vps4a	116733	Q8VEJ9	VPS4A	27183	Q9UN37	NA	8
Q08257	Cryz	362061	Q6AYT0	Cryz	12972	P47199	CRYZ	1429	Q08257	NA	6
P53779	Mapk10	25272	P49187	Mapk10	26414	Q61831	MAPK10	5602	P53779	NA	7
O75534	Csde1	117180	P18395	Csde1	229663	Q91W50	CSDE1	7812	O75534	NA	6
P05165	Pcca	687008	P14882	Pcca	110821	Q91ZA3	PCCA	5095	P05165	NA	6
Q9H6U6	Bcas3	363662	NA	Bcas3	192197	Q8CCN5	BCAS3	54828	Q9H6U6	NA	6
Q07002	Cdk18	289019	O35832	Cdk18	18557	Q04899	CDK18	5129	Q07002	NA	7
Q04837	Ssbp1	54304	P28042	Ssbp1	381760	Q9CYR0	SSBP1	6742	Q04837	NA	7
Q8IW45	Carkd	361185	D3ZLK9	Carkd	69225	Q9CZ42	CARKD	55739	Q8IW45	NA	6
P55060	Cse1l	362273	D3ZPR0	Cse1l	110750	Q9ERK4	CSE1L	1434	P55060	NA	6
Q8NFX7	Stxbp6	362734	D3ZCI5	Stxbp6	217517	Q3TYA4	STXBP6	29091	Q8NFX7	NA	6
O95182	Ndufa7	299643	A9UMV9	Ndufa7	66416	Q9Z1P6	NDUFA7	4701	O95182	NA	6
P62195	Psmc5	81827	P62198	Psmc5	19184	P62196	PSMC5	5705	P62195	NA	7
Q96GD0	Pdxp	727679	B2GV79	Pdxp	57028	P60487	PDXP	57026	Q96GD0	NA	6
P61978	Hnrnpk	117282	P61980	Hnrnpk	15387	P61979	HNRNPK	3190	P61978	NA	7
Q15056	Eif4h	288599	Q5XI72	Eif4h	22384	Q9WUK2	EIF4H	7458	Q15056	NA	7
P25686	Dnajb2	689593	B2RYA8	Dnajb2	56812	Q9QYI5	DNAJB2	3300	P25686	NA	6
P22626	Hnrnpa2b1	362361	A7VJC2	Hnrnpa2b1	53379	O88569	HNRNPA2B1	3181	P22626	41.6	7
Q13510	Asah1	84431	Q6P7S1	Asah1	11886	Q9WV54	ASAH1	427	Q13510	23.5	6
Q9HCM2	Plxna4a	312213	NA	Plxna4	243743	Q80UG2	PLXNA4	91584	Q9HCM2	10.1	9
O75122	Clasp2	114514	Q99JD4	Clasp2	76499	Q8BRT1	CLASP2	23122	O75122	16.5	8
P48643	Cct5	294864	Q68FQ0	Cct5	12465	P80316	CCT5	22948	P48643	21.6	7
P23468	Ptprd	313278	NA	Ptprd	19266	Q64487	PTPRD	5789	P23468	6.7	8
P13861	Prkar2a	29699	P12368	Prkar2a	19087	Q8K1M3	PRKAR2A	5576	P13861	32.2	10
Q8TDC3	Brsk1	499073	B2DD29	Brsk1	381979	Q5RJI5	BRSK1	84446	Q8TDC3	26.5	8
Q9H936	Slc25a22	309111	A0A0G2K5L2	Slc25a22	68267	Q9D6M3	SLC25A22	79751	Q9H936	17.7	6
Q15904	Atp6ap1	83615	O54715	Atp6ap1	54411	Q9R1Q9	ATP6AP1	537	Q15904	18.1	6
P42765	Acaa2	170465	P13437	Acaa2	52538	Q8BWT1	ACAA2	10449	P42765	25.7	6
Q15773	Mlf2	312709	D3ZPN3	Mlf2	30853	Q99KX1	MLF2	8079	Q15773	39.9	7
Q15365	Pcbp1	500242	NA	Pcbp1	23983	P60335	PCBP1	5093	Q15365	33.4	9
O43813	Lancl1	114515	Q9QX69	Lancl1	14768	O89112	LANCL1	10314	O43813	17.8	6
Q9ULP0	Ndrg4	64457	G3V7P8	Ndrg4	234593	Q8BTG7	NDRG4	65009	Q9ULP0	20.5	6
Q9Y3F4	Strap	297699	Q5XIG8	Strap	20901	Q9Z1Z2	STRAP	11171	Q9Y3F4	21.7	6
Q9NR45	Nans	298071	B1WC26	Nans	94181	Q99J77	NANS	54187	Q9NR45	24	6
Q16566	Camk4	25050	P13234	Camk4	12326	Q8BGR3	CAMK4	814	Q16566	25.4	6
Q5H9L2	Tceal5	680282	M0RDJ7	Tceal5	331532	Q8CCT4	TCEAL5	340543	Q5H9L2	52.4	7
Q14894	Crym	117024	Q9QYU4	Crym	12971	O54983	CRYM	1428	Q14894	22	6
P20020	Atp2b1	29598	P11505	Atp2b1	67972	G5E829	ATP2B1	490	P20020	19.1	15
Q06124	Ptpn11	25622	P41499	Ptpn11	19247	P35235	PTPN11	5781	Q06124	20.4	6
P55011	Slc12a2	83629	Q9QX10	Slc12a2	20496	P55012	SLC12A2	6558	P55011	13.5	6
Q15436	Sec23a	58817	B5DFC3	Sec23a	20334	Q01405	SEC23A	10484	Q15436	17.5	6
P51553	Idh3g	25179	Q5XIJ3	Idh3g	15929	P70404	IDH3G	3421	P51553	29.8	8
P43686	Psmc4	117262	Q63570	Psmc4	23996	P54775	PSMC4	5704	P43686	21.3	6
P05067	App	54226	P08592	App	11820	P12023	APP	351	P05067	16.9	6
Q7KZF4	Snd1	64635	Q66X93	Snd1	56463	Q78PY7	SND1	27044	Q7KZF4	13.5	6
P49591	Sars	266975	Q6P799	Sars	20226	P26638	SARS	6301	P49591	23.4	5
P68400	Csnk2a1	116549	P19139	Csnk2a1	12995	Q60737	CSNK2A1	1457	P68400	32	5
P49407	Arrb1	25387	P29066	Arrb1	109689	Q8BWG8	ARRB1	408	P49407	28	6
Q9Y4F5	Cep170b	500726	D4A1G8	Cep170b	217882	Q80U49	CEP170B	283638	Q9Y4F5	16.1	6
Q6DN90	Iqsec1	686590	NA	Iqsec1	232227	Q8R0S2	IQSEC1	9922	Q6DN90	15	7
Q9UI08	Evl	79115	O08719	Evl	14026	P70429	EVL	51466	Q9UI08	33.7	6
Q15435	Ppp1r7	301618	Q5HZV9	Ppp1r7	66385	Q3UM45	PPP1R7	5510	Q15435	29.7	6
Q5T5P2	Etl4	291356	NA	Etl4	208618	A2AQ25	KIAA1217	56243	Q5T5P2	12.3	6
Q7L266	Asrgl1	246307	Q8VI04	Asrgl1	66514	Q8C0M9	ASRGL1	80150	Q7L266	25.3	5
P13611	Vcan	114122	Q9ERB4	Vcan	13003	E9PYH0	VCAN	1462	P13611	5.1	9
Q9UJW0	Dctn4	84428	Q9QUR2	Dctn4	67665	Q8CBY8	DCTN4	51164	Q9UJW0	25.4	5
P36957	Dlst	299201	Q01205	Dlst	78920	Q9D2G2	DLST	1743	P36957	36.9	6
Q9Y570	Ppme1	361613	Q4FZT2	Ppme1	72590	Q8BVQ5	PPME1	51400	Q9Y570	26.4	6
O00170	Aip	282827	Q5FWY5	Aip	11632	O08915	AIP	9049	O00170	24.2	5
O75251	Ndufs7	362837	Q5RJN0	Ndufs7	75406	Q9DC70	NDUFS7	374291	O75251	33.3	6
Q96CV9	Optn	246294	Q8R5M4	Optn	71648	Q8K3K8	OPTN	10133	Q96CV9	24.3	5
P29692	Eef1d	300033	Q68FR9	Eef1d	66656	P57776	EEF1D	1936	P29692	29.5	5
O94967	Wdr47	310785	G3V9M3	Wdr47	99512	Q8CGF6	WDR47	22911	O94967	22.2	6
Q5SQI0	Atat1	361789	Q6MG11	Atat1	73242	Q8K341	ATAT1	79969	Q5SQI0	34.4	5
Q8NCB2	Camkv	79011	Q63092	Camkv	235604	Q3UHL1	CAMKV	79012	Q8NCB2	19.8	8
O95299	Ndufa10	678759	Q561S0	Ndufa10	67273	Q99LC3	NDUFA10	4705	O95299	24.2	5
Q9UK22	Fbxo2	85273	G3V774	Fbxo2	230904	Q80UW2	FBXO2	26232	Q9UK22	25.7	5
O75874	Idh1	24479	P41562	Idh1	15926	O88844	IDH1	3417	O75874	35.8	8
Q7Z6L0	Prrt2	361651	D3ZFB6	Prrt2	69017	E9PUL5	PRRT2	112476	Q7Z6L0	20.9	6
Q16881	Txnrd1	58819	O89049	Txnrd1	50493	Q9JMH6	TXNRD1	7296	Q16881	17.3	6
P30626	Sri	683667	B0BNJ1	Sri	109552	Q6P069	SRI	6717	P30626	25.8	5
P42224	Stat1	25124	F1M9D6	Stat1	20846	Q8C3V4	STAT1	6772	P42224	17.6	6
P31153	Mat2a	171347	P18298	Mat2a	232087	Q3THS6	MAT2A	4144	P31153	25.1	5
P11766	Adh5	100145871	P12711	Adh5	11532	P28474	ADH5	128	P11766	17.4	6
P22307	Scp2	25541	P11915	Scp2	20280	P32020	SCP2	6342	P22307	19.2	6
P42356	Pi4ka	64161	O08662	Pi4ka	224020	E9Q3L2	PI4KA	5297	P42356	7.7	5
Q9GZQ8	Map1lc3b	64862	Q62625	Map1lc3b	67443	Q9CQV6	MAP1LC3B	81631	Q9GZQ8	37.6	5
Q9UMF0	Icam5	313785	D4A435	NA	NA	NA	ICAM5	7087	Q9UMF0	15.7	6
Q6ZVM7	Tom1l2	360537	D4A6C9	Tom1l2	216810	Q5SRX1	TOM1L2	146691	Q6ZVM7	18.9	8
Q9H9H5	Map6d1	363823	D3ZT16	Map6d1	208158	Q14BB9	MAP6D1	79929	Q9H9H5	50.3	5
Q13177	Pak2	29432	Q64303	Pak2	224105	Q8CIN4	PAK2	5062	Q13177	35.3	11
Q9UPT5	Exoc7	64632	O54922	Exoc7	53413	O35250	EXOC7	23265	Q9UPT5	14.4	5
P02792	Ftl1	29292	P02793	Ftl1	14325	Q9CPX4	FTL	2512	P02792	38.9	5
Q8WXF7	Atl1	362750	Q6PST4	Atl1	73991	Q8BH66	ATL1	51062	Q8WXF7	13.4	5
Q3ZCQ8	Timm50	687295	D3ZJX5	Timm50	66525	Q9D880	TIMM50	92609	Q3ZCQ8	18.1	5
P48426	Pip4k2a	116723	Q9R0I8	Pip4k2a	18718	O70172	PIP4K2A	5305	P48426	32.5	11
Q99961	Sh3gl1	81922	O35964	Sh3gl1	20405	Q62419	SH3GL1	6455	Q99961	29.1	11
P55209	Nap1l1	89825	Q9Z2G8	Nap1l1	53605	P28656	NAP1L1	4673	P55209	17.9	5
O75363	Bcas1	246755	F1LN49	Bcas1	76960	Q80YN3	BCAS1	8537	O75363	23	8
Q9Y243	Akt3	29414	Q63484	Akt3	23797	Q9WUA6	AKT3	10000	Q9Y243	24.2	5
Q9HB71	Cacybp	289144	Q6AYK6	Cacybp	12301	Q9CXW3	CACYBP	27101	Q9HB71	48.3	5
P38117	Etfb	292845	Q68FU3	Etfb	110826	Q9DCW4	ETFB	2109	P38117	36.1	6
O43242	Psmd3	287670	Q5U2S7	Psmd3	22123	P14685	PSMD3	5709	O43242	18.4	5
Q7Z3B1	Negr1	59318	Q9Z0J8	Negr1	320840	Q80Z24	NEGR1	257194	Q7Z3B1	27.7	5
Q13642	Fhl1	25177	Q9WUH4	Fhl1	14199	P97447	FHL1	2273	Q13642	17.3	5
P60660	Myl6	685867	B2GV99	Myl6	17904	Q60605	MYL6	4637	P60660	45.7	6
P55795	Hnrnph2	308650	Q6AY09	Hnrnph2	56258	P70333	HNRNPH2	3188	P55795	16.9	5
P49841	Gsk3b	84027	P18266	Gsk3b	56637	Q9WV60	GSK3B	2932	P49841	22.6	5
P14415	Atp1b2	24214	Q5M9H4	Atp1b2	11932	P14231	ATP1B2	482	P14415	24.5	6
Q9UM22	Epdr1	291180	Q5XII0	Epdr1	105298	Q99M71	EPDR1	54749	Q9UM22	25.9	7
P00915	Car1	310218	B0BNN3	Car1	12346	P13634	CA1	759	P00915	26.4	5
O94919	Endod1	363015	NA	Endod1	71946	Q8C522	ENDOD1	23052	O94919	13.6	5
P47736	Rap1gap	313644	Q5EB70	Rap1gap	110351	A2ALS5	RAP1GAP	5909	P47736	18.4	7
Q14008	Ckap5	311191	F1M949	Ckap5	75786	A2AGT5	CKAP5	9793	Q14008	10.7	9
P15170	LOC100911685	100911685	NA	Gspt1	14852	Q8R050	GSPT1	2935	P15170	22	6
P28161	Gstm7	81869	P08009	NA	NA	NA	GSTM2	2946	P28161	45	6
P00390	Gsr	116686	F1LRE1	Gsr	14782	P47791	GSR	2936	P00390	17.2	5
P62879	Gnb2	81667	P54313	Gnb2	14693	P62880	GNB2	2783	P62879	32.9	17
P13489	Rnh1	100360501	P29315	Rnh1	107702	Q91VI7	RNH1	6050	P13489	25.8	5
O60493	Snx3	684097	Q5U211	Snx3	54198	Q78ZM0	SNX3	8724	O60493	34.6	6
Q14914	Ptgr1	192227	P97584	Ptgr1	67103	Q91YR9	PTGR1	22949	Q14914	21.3	5
Q99490	Agap2	65218	Q8CGU4	Agap2	216439	Q3UHD9	AGAP2	116986	Q99490	7.2	5
Q16775	Hagh	24439	O35952	Hagh	14651	Q99KB8	HAGH	3029	Q16775	49.7	6
Q96F07	Cyfip2	303073	D3ZX82	Cyfip2	76884	Q5SQX6	CYFIP2	26999	Q96F07	14	5
P27448	Mark3	170577	Q8VHF0	Mark3	17169	Q03141	MARK3	4140	P27448	20.1	5
P53677	Ap3m2	140667	P53678	Ap3m2	64933	Q8R2R9	AP3M2	10947	P53677	22.7	5
Q15276	Rabep1	54190	O35550	Rabep1	54189	O35551	RABEP1	9135	Q15276	15.8	5
P23515	Omg	450224	Q7TQ25	Omg	18377	Q63912	OMG	4974	P23515	17.5	5
Q14247	Cttn	60465	Q66HL2	Cttn	13043	Q60598	CTTN	2017	Q14247	28.9	5
P13716	Alad	25374	P06214	Alad	17025	P10518	ALAD	210	P13716	25.5	5
Q9UJ70	Nagk	297393	P81799	Nagk	56174	Q9QZ08	NAGK	55577	Q9UJ70	23.3	6
P09382	Lgals1	56646	P11762	Lgals1	16852	P16045	LGALS1	3956	P09382	34.8	6
P55010	Eif5	56783	Q07205	Eif5	217869	P59325	EIF5	1983	P55010	17.4	5
Q7L5N1	Cops6	304343	D3ZI16	Cops6	26893	O88545	COPS6	10980	Q7L5N1	22.9	5
Q5VWZ2	Lyplal1	289357	NA	Lyplal1	226791	Q3UFF7	LYPLAL1	127018	Q5VWZ2	29.1	5
Q16798	Me3	361602	A0A0G2K4C6	Me3	109264	Q8BMF3	ME3	10873	Q16798	18.5	5
Q15111	Plcl1	84587	Q62688	Plcl1	227120	Q3USB7	PLCL1	5334	Q15111	11.5	5
P60520	Gabarapl2	64670	P60522	Gabarapl2	93739	P60521	GABARAPL2	11345	P60520	45.3	5
Q9Y512	Samm50	300111	Q6AXV4	Samm50	68653	Q8BGH2	SAMM50	25813	Q9Y512	23.9	6
Q9NY65	Ehhadh	171142	P07896	Ehhadh	74147	Q9DBM2	EHHADH	1962	Q9NY65	53	83
Q86YR5	Gpsm1	246254	Q9R080	Gpsm1	67839	Q6IR34	GPSM1	26086	Q86YR5	23.6	5
P49006	Marcksl1	81520	Q9EPH2	Marcksl1	17357	P28667	MARCKSL1	65108	P49006	72.3	6
Q4KMP7	Tbc1d10b	365372	D3ZSY8	Tbc1d10b	68449	Q8BHL3	TBC1D10B	26000	Q4KMP7	16.6	6
Q9BXM9	Fsd1l	313208	A0A0G2JZ60	Fsd1l	319636	Q8BYN5	FSD1L	83856	Q9BXM9	17.2	5
Q53H12	Agk	502749	D3Z9L0	Agk	69923	Q9ESW4	AGK	55750	Q53H12	23.2	5
P10915	Hapln1	29331	P03994	Hapln1	12950	Q9QUP5	HAPLN1	1404	P10915	25.4	6
Q13200	Psmd2	287984	Q4FZT9	Psmd2	21762	Q8VDM4	PSMD2	5708	Q13200	14.3	5
O00442	Rtcd1	295395	Q68FS8	Rtca	66368	Q9D7H3	RTCA	8634	O00442	22.1	5
Q07954	Lrp1	299858	G3V928	Lrp1	16971	Q91ZX7	LRP1	4035	Q07954	5.1	6
O43581	Syt7	59267	Q62747	Syt7	54525	Q9R0N7	SYT7	9066	O43581	25.1	5
Q7Z2K8	Gprin1	364676	NA	Gprin1	26913	Q3UNH4	GPRIN1	114787	Q7Z2K8	19.3	6
P01111	Nras	24605	Q04970	Nras	18176	Q3TMF4	NRAS	4893	P01111	43.4	5
O43488	Akr7a2	171445	Q8CG45	Akr7a5	110198	Q8CG76	AKR7A2	8574	O43488	15.9	5
Q9NRV9	Hebp1	362454	B4F7C7	Hebp1	15199	Q9R257	HEBP1	50865	Q9NRV9	27	5
Q5VWJ9	Snx30	298033	D4A060	Snx30	209131	Q8CE50	SNX30	401548	Q5VWJ9	18.1	5
Q8IXS8	Fam126b	316415	Q4V7D4	Fam126b	213056	Q8C729	FAM126B	285172	Q8IXS8	17.9	5
P17931	Lgals3	83781	P08699	Lgals3	16854	Q8C253	LGALS3	3958	P17931	28.4	5
P12814	Actn1	81634	Q9Z1P2	Actn1	109711	Q7TPR4	ACTN1	87	P12814	23.9	10
Q8IZP0	Abi1	79249	Q9QZM5	Abi1	11308	Q8CBW3	ABI1	10006	Q8IZP0	18.1	7
Q15818	Nptx1	266777	P47971	Nptx1	18164	Q62443	NPTX1	4884	Q15818	20.8	5
P10114	Rap2a	114560	Q78P65	Rap2a	76108	Q80ZJ1	RAP2A	5911	P10114	32.8	5
Q9C0C9	Ube2o	303689	NA	Ube2o	217342	Q6ZPJ3	UBE2O	63893	Q9C0C9	9.8	5
O43681	Asna1	288919	G3V9T7	Asna1	56495	O54984	ASNA1	439	O43681	31.9	5
O14773	Tpp1	83534	Q9EQV6	Tpp1	12751	O89023	TPP1	1200	O14773	9.4	5
Q14982	Opcml	116597	P32736	Opcml	330908	G5E8G3	OPCML	4978	Q14982	18.6	5
P51665	Psmd7	307821	D4AEH3	Psmd7	17463	P26516	PSMD7	5713	P51665	22.5	5
Q15046	Kars	292028	Q5XIM7	Kars	85305	Q99MN1	KARS	3735	Q15046	9.9	5
Q53GQ0	Hsd17b12	84013	Q6P7R8	Hsd17b12	56348	O70503	HSD17B12	51144	Q53GQ0	24.4	5
P34949	Mpi	300741	Q68FX1	Mpi	110119	Q924M7	MPI	4351	P34949	24.6	5
Q96CX2	Kctd12	364458	NA	Kctd12	239217	Q6WVG3	KCTD12	115207	Q96CX2	26.8	5
O75077	Adam23	301460	D3ZT36	Adam23	23792	Q9R1V7	ADAM23	8745	O75077	10	7
Q10567	Ap1b1	29663	P52303	Ap1b1	11764	O35643	AP1B1	162	Q10567	22	15
Q96HU8	Diras2	291006	D3ZHX3	Diras2	68203	Q5PR73	DIRAS2	54769	Q96HU8	38.7	5
Q5T5U3	Arhgap21	307178	NA	Arhgap21	71435	Q6DFV3	ARHGAP21	57584	Q5T5U3	8.9	5
P54727	Rad23b	298012	Q4KMA2	Rad23b	19359	P54728	RAD23B	5887	P54727	26.2	5
P21912	Sdhb	298596	P21913	Sdhb	67680	Q9CQA3	SDHB	6390	P21912	29.6	6
Q9UHY1	Nrbp1	619579	Q3SWT7	Nrbp1	192292	Q99J45	NRBP1	29959	Q9UHY1	16.1	5
Q9UI12	Atp6v1h	297797	A0A0G2K9J2	Atp6v1h	108664	Q8BVE3	ATP6V1H	51606	Q9UI12	19.7	4
Q9BTV5	Fsd1	301506	NA	Fsd1	240121	Q7TPM6	FSD1	79187	Q9BTV5	21.2	5
P60953	Cdc42	64465	Q8CFN2	Cdc42	12540	P60766	CDC42	998	P60953	26.2	6
Q9P0L0	Vapa	58857	Q9Z270	Vapa	30960	Q9WV55	VAPA	9218	Q9P0L0	34.1	11
O43181	Ndufs4	499529	Q5XIF3	Ndufs4	17993	Q9CXZ1	NDUFS4	4724	O43181	33.1	6
Q92558	Wasf1	294568	Q5BJU7	Wasf1	83767	Q8R5H6	WASF1	8936	Q92558	18.3	4
P62191	Psmc1	117263	P62193	Psmc1	19179	P62192	PSMC1	5700	P62191	35.5	6
Q9HB21	Plekha1	361659	A1A5P7	Plekha1	101476	Q8BUL6	PLEKHA1	59338	Q9HB21	22.8	5
O14523	C2cd2l	300666	Q5U2P5	C2cd2l	71764	Q80X80	C2CD2L	9854	O14523	21.7	4
P48506	Gclc	25283	P19468	Gclc	14629	P97494	GCLC	2729	P48506	14.1	4
Q6IBS0	Twf2	684352	B0BMY7	Twf2	23999	Q9Z0P5	TWF2	11344	Q6IBS0	34.1	4
Q15121	Pea15	364052	Q5U318	Pea15a	18611	Q62048	PEA15	8682	Q15121	30.8	5
Q9NQE9	Hint3	246769	A0A0G2K7W8	Hint3	66847	Q9CPS6	HINT3	135114	Q9NQE9	36.3	5
Q15102	Pafah1b3	114113	O35263	Pafah1b3	18476	Q61205	PAFAH1B3	5050	Q15102	32.9	4
A0AVT1	Uba6	305268	D4A8H3	Uba6	231380	Q8C7R4	UBA6	55236	A0AVT1	9.3	4
O75382	Trim3	83616	O70277	Trim3	55992	Q9R1R2	TRIM3	10612	O75382	22.2	6
P21399	Aco1	50655	Q63270	Aco1	11428	P28271	ACO1	48	P21399	9.4	4
Q9UHV9	Pfdn2	685607	B0BN18	Pfdn2	18637	O70591	PFDN2	5202	Q9UHV9	48.1	4
Q9GZN7	Rogdi	287061	Q4V7D2	Rogdi	66049	Q3TDK6	ROGDI	79641	Q9GZN7	20.2	4
Q99784	Olfm1	93667	Q62609	Olfm1	56177	O88998	OLFM1	10439	Q99784	11.1	4
Q6UXV4	Apool	317191	Q5U1W6	Apool	68117	Q78IK4	APOOL	139322	Q6UXV4	27.6	4
Q15942	Zyx	114636	D4A7U1	Zyx	22793	Q62523	ZYX	7791	Q15942	15.4	5
Q13057	Coasy	287711	Q5XIA5	Coasy	71743	Q9DBL7	COASY	80347	Q13057	10.3	4
P68402	Pafah1b2	64189	O35264	Pafah1b2	18475	Q61206	PAFAH1B2	5049	P68402	30.1	4
P60900	Psma6	29673	P60901	Psma6	26443	Q9QUM9	PSMA6	5687	P60900	17.9	4
P43487	Ranbp1	360739	D4A2G9	Ranbp1	19385	P34022	RANBP1	5902	P43487	36.8	4
P00403	Mt-co2	26198	P00406	NA	NA	NA	COX2	4513	P00403	24.2	7
Q9UJC5	Sh3bgrl2	501026	NA	Sh3bgrl2	212531	Q8BG73	SH3BGRL2	83699	Q9UJC5	47.7	4
Q9UBQ7	Grhpr	680021	B0BN46	Grhpr	76238	Q91Z53	GRHPR	9380	Q9UBQ7	18.6	4
Q99714	Hsd17b10	63864	O70351	Hsd17b10	15108	Q99N15	HSD17B10	3028	Q99714	27.6	4
P82909	Mrps36	294696	M0R776	Mrps36	66128	Q9CQX8	MRPS36	92259	P82909	52.4	4
P62942	Fkbp1a	25639	Q62658	Fkbp1a	14225	P26883	FKBP1A	2280	P62942	34.3	5
P35754	Glrx	64045	Q9ESH6	Glrx	93692	Q9QUH0	GLRX	2745	P35754	31.1	4
O15079	Snph	296267	B5DF41	Snph	241727	Q80U23	SNPH	9751	O15079	13	4
P20618	Psmb1	94198	P18421	Psmb1	19170	O09061	PSMB1	5689	P20618	31.1	4
Q9BZV1	Ubxn6	363332	M0RAE4	Ubxn6	66530	Q99PL6	UBXN6	80700	Q9BZV1	25.2	6
O15066	Kif3b	296284	D3ZI07	Kif3b	16569	Q61771	KIF3B	9371	O15066	15.3	5
P23246	Sfpq	252855	Q4KM71	Sfpq	71514	Q8VIJ6	SFPQ	6421	P23246	18.1	4
P02787	Tf	24825	P12346	NA	NA	NA	TF	7018	P02787	10.3	4
